"1187","CLCNKA","1","16094416","16105851","+","NT_004873.16","2741948","2753383","+","GENE","reference","-","-1","1187"
"440568","LOC440568","1","16106311","16112569","-","NT_004873.16","2753843","2760101","-","GENE","reference","-","1","440568"
"1188","CLCNKB","1","16115658","16128782","+","NT_004873.16","2763190","2776314","+","GENE","reference","-","-1","1188"
"348487","FLJ36766","1","16129571","16145401","-","NT_004873.16","2777103","2792933","-","GENE","reference","-","-1","348487"
"1969","EPHA2","1","16196139","16227870","-","NT_004873.16","2843671","2875402","-","GENE","reference","-","-1","1969"
"128272","ARHGEF19","1","16269905","16284410","-","NT_004873.16","2917437","2931942","-","GENE","reference","-","-1","128272"
"343531","LOC343531","1","16288180","16300243","-","NT_004873.16","2935712","2947775","-","GENE","reference","-","2","343531"
"79363","MGC10731","1","16303502","16308752","-","NT_004873.16","2951034","2956284","-","GENE","reference","-","-1","79363"
"54455","FBXO42","1","16321866","16424254","-","NT_004873.16","2969398","3071786","-","GENE","reference","-","-1","54455"
"26099","DKFZP566C0424","1","16439026","16468170","+","NT_004873.16","3086558","3115702","+","GENE","reference","-","-1","26099"
"374955","LOC374955","1","16470444","16509225","-","NT_004873.16","3117976","3156757","-","GENE","reference","-","-1","374955"
"55707","FLJ10420","1","16512539","16531879","+","NT_004873.16","3160071","3179411","+","GENE","reference","-","-1","55707"
"114819","KIAA1922","1","16546030","16564899","-","NT_004873.16","3193562","3212431","-","GENE","reference","-","-1","114819"
"440569","LOC440569","1","16570039","16571445","-","NT_004873.16","3217571","3218977","-","GENE","reference","-","1","440569"
"440570","LOC440570","1","16605697","16607571","-","NT_004873.16","3253229","3255103","-","GENE","reference","-","2","440570"
"439928","LOC439928","1","16634229","16659009","-","NT_004873.16","3281761","3306541","-","GENE","reference","-","1","439928"
"55672","FLJ20719","1","16665274","16680417","-","NT_004873.16","3312806","3327949","-","GENE","reference","-","-1","55672"
"440571","LOC440571","1","16692646","16714946","-","NT_004873.16","3340178","3362478","-","GENE","reference","-","1","440571"
"11209","MSTP2","1","16718103","16718502","+","NT_004873.16","3365635","3366034","+","GENE","reference","-","-1","11209"
"440572","LOC440572","1","16728680","16740219","+","NT_004873.16","3376212","3387751","+","GENE","reference","-","1","440572"
"280661","EIF1AP1","1","16756851","16758050","-","NT_004873.16","3404383","3405582","-","GENE","reference","-","-1","280661"
"440573","LOC440573","1","16810847","16822390","-","NT_004873.16","3458379","3469922","-","GENE","reference","-","1","440573"
"11204","MSTP7","1","16832570","16832980","-","NT_004873.16","3480102","3480512","-","GENE","reference","-","-1","11204"
"401943","LOC401943","1","16927005","16931717","+","NT_004610.17","6041","10753","+","GENE","reference","-","4","401943"
"400740","LOC400740","1","16944083","16945845","+","NT_004610.17","23119","24881","+","GENE","reference","-","1","400740"
"400741","LOC400741","1","16960345","16961581","-","NT_004610.17","39381","40617","-","GENE","reference","-","2","400741"
"400742","LOC400742","1","16966327","16969329","-","NT_004610.17","45363","48365","-","GENE","reference","-","1","400742"
"9696","CROCC","1","16993820","17044766","+","NT_004610.17","72856","123802","+","GENE","reference","-","-1","9696"
"4237","MFAP2","1","17046308","17053387","-","NT_004610.17","125344","132423","-","GENE","reference","-","-1","4237"
"23400","HSA9947","1","17057759","17083573","-","NT_004610.17","136795","162609","-","GENE","reference","-","-1","23400"
"6390","SDHB","1","17090559","17125952","-","NT_004610.17","169595","204988","-","GENE","reference","-","-1","6390"
"11240","PADI2","1","17140559","17191236","-","NT_004610.17","219595","270272","-","GENE","reference","-","-1","11240"
"400743","LOC400743","1","17261584","17269418","+","NT_004610.17","340620","348454","+","GENE","reference","-","-1","400743"
"29943","PADI1","1","17276936","17316661","+","NT_004610.17","355972","395697","+","GENE","reference","-","-1","29943"
"51702","PADI3","1","17320899","17356031","+","NT_004610.17","399935","435067","+","GENE","reference","-","-1","51702"
