"129537","0.217620","64769","311245","1","2"
"129538","0.259579","78613","311245","2","2"
"149807","0.250882","74904","301691","1","2"
"149808","0.304832","92206","301691","2","2"
"410013","0.678883","205007","50204","1","2"
"410014","0.631845","191625","50204","2","2"
"425209","0.704121","212605","240168","1","2"
"425210","0.714203","216370","240168","2","2"
"480343","0.795623","240172","291627","1","2"
"480344","0.757243","229187","291627","2","2"
"481993","0.798288","240997","146628","1","2"
"481994","0.466560","141146","146628","2","2"
"540589","0.895588","270295","271300","1","2"
"540590","0.879506","265905","271300","2","2"
"553075","0.916151","276538","255013","1","2"
"553076","0.899135","271815","255013","2","2"
"739233","0.226614","67946","311245","3","2"
"739234","0.283725","86615","311245","4","2"
"758859","0.259180","77759","301691","3","2"
"758860","0.328707","100306","301691","4","2"
"988599","0.637481","192629","240168","3","2"
"988600","0.641501","194890","240168","4","2"
"1000573","0.657032","198616","146628","3","2"
"1000574","0.324471","99077","146628","4","2"
"1034397","0.712645","215528","50204","3","2"
"1034398","0.662640","201476","50204","4","2"
"1094917","0.813318","245788","291627","3","2"
"1094918","0.792558","240211","291627","4","2"
"1155709","0.913979","276184","271300","3","2"
"1155710","0.902598","273142","271300","4","2"
"1171047","0.939785","283853","255013","3","2"
"1171048","0.928074","280713","255013","4","2"
"1436919","0.218295","115109","487853","5","1"
"1436920","0.227353","124508","487853","6","1"
"1447029","0.227704","120164","311245","5","1"
"1447030","0.270946","147786","311245","6","1"
"1482953","0.261927","138126","301691","5","1"
"1482954","0.317952","172623","301691","6","1"
"1904083","0.659552","348691","468395","5","1"
"1904084","0.651177","348539","468395","6","1"
"1910465","0.665642","351882","146628","5","1"
"1910466","0.694050","370602","146628","6","1"
"1924657","0.678895","358978","50204","5","1"
"1924658","0.600407","321892","50204","6","1"
"1996577","0.747508","394938","240168","5","1"
"1996578","0.760192","404867","240168","6","1"
"2053287","0.801528","423293","291627","5","1"
"2053288","0.758723","404126","291627","6","1"
"2098179","0.844136","445739","487852","5","1"
"2098180","0.879369","466166","487852","6","1"
"2167151","0.909574","480225","271300","5","1"
"2167152","0.896976","475320","271300","6","1"
"2173071","0.915197","483185","487850","5","1"
"2173072","0.879327","466142","487850","6","1"
"2188737","0.929877","491018","255013","5","1"
"2188738","0.916671","485533","255013","6","1"
"2508381","0.231648","122964","487853","7","1"
"2508382","0.233443","128930","487853","8","1"
"2515027","0.238212","126287","311245","7","1"
"2515028","0.296536","162292","311245","8","1"
"2550687","0.271827","144117","301691","7","1"
"2550688","0.343525","187501","301691","8","1"
"2987165","0.684583","362356","240168","7","1"
"2987166","0.686742","367874","240168","8","1"
"3013955","0.710265","375751","50204","7","1"
"3013956","0.635156","340787","50204","8","1"
"3025743","0.721255","381645","468395","7","1"
"3025744","0.718628","384286","468395","8","1"
"3029261","0.724555","383404","146628","7","1"
"3029262","0.780192","415876","146628","8","1"
"3127885","0.818484","432716","291627","7","1"
"3127886","0.791742","421689","291627","8","1"
"3170093","0.858441","453820","487852","7","1"
"3170094","0.902362","478349","487852","8","1"
"3239575","0.924598","488561","271300","7","1"
"3239576","0.914999","484989","271300","8","1"
"3256595","0.940700","497071","487850","7","1"
"3256596","0.906562","480573","487850","8","1"
"3265919","0.949818","501733","255013","7","1"
"3265920","0.940136","497761","255013","8","1"
"3457161","0.130202","69483","255013","9","3"
"3457162","0.122909","66155","255013","10","3"
"3458239","0.131162","70022","271300","9","3"
"3458240","0.121376","65334","271300","10","3"
"3617119","0.280373","149462","311245","9","3"
"3617120","0.257651","138032","311245","10","3"
"3627063","0.289929","154434","301691","9","3"
"3627064","0.265625","142348","301691","10","3"
"3652361","0.314018","167083","487852","9","3"
"3652362","0.281308","150500","487852","10","3"
"3721007","0.378298","201406","291627","9","3"
"3721008","0.348560","186212","291627","10","3"
"3852499","0.502407","267152","487850","9","3"
"3852500","0.469488","250364","487850","10","3"
"3880177","0.528631","280991","50204","9","3"
"3880178","0.505191","269112","50204","10","3"
"3893551","0.541364","287678","240168","9","3"
"3893552","0.536825","285589","240168","10","3"
"4028475","0.670260","355140","468395","9","3"
"4028476","0.712444","377604","468395","10","3"
"4253385","0.884382","467595","146628","9","3"
"4253386","0.971163","513097","146628","10","3"
"4373809","0.999602","527807","487853","9","3"
"4373810","0.999503","527870","487853","10","3"
"4504079","0.217670","64774","311245","11","5"
"4504080","0.259629","78618","311245","12","5"
"4524349","0.250932","74909","301691","11","5"
"4524350","0.304882","92211","301691","12","5"
"4784555","0.678933","205012","50204","11","5"
"4784556","0.631895","191630","50204","12","5"
"4799751","0.704171","212610","240168","11","5"
"4799752","0.714253","216375","240168","12","5"
"4854885","0.795673","240177","291627","11","5"
"4854886","0.757293","229192","291627","12","5"
"4856535","0.798338","241002","146628","11","5"
"4856536","0.466610","141151","146628","12","5"
"4915131","0.895638","270300","271300","11","5"
"4915132","0.879556","265910","271300","12","5"
